Town ID,Town Name,Country ID
224,London,1
254,Nottingham,1
1076,Providence,4
1019,Gros Islet,4
988,Bridgetown,4
1251,Hambantota,8
955,Colombo,8
958,Kandy,8
58,Dhaka,25
57,Chattogram,25
68,Sylhet,25
670,Nagpur,6
586,Dharamsala,6
574,Kolkata,6
665,Mumbai,6
549,Bengaluru,6
1684,Mohali,6
584,Delhi,6
1576,Al Amarat,37
977,Abu Dhabi,27
976,Sharjah,27
978,Dubai,27
19,Geelong,2
20,Hobart,2
29,Sydney,2
27,Perth,2
25,Melbourne,2
8,Brisbane,2
2,Adelaide,2
1678,Dallas,11
1155,New York,11
1102,North Sound,4
1222,Lauderhill,11
1074,Tarouba,4
997,Kingstown,4
